name,latin,zone,sun,soil,wind,is_bulb,notes,pruning,feeding,watering,pruning_months,feeding_months,water_freq
Шипка,Rosa canina,,full_sun,well_drained,tolerant,no,Rosehip | habitat: full_sun,"Mar: main prune — cut to outward-facing bud, remove dead wood. Deadhead Jun–Sep.",Mar: worm castings. May & Jul: high-potassium feed (seaweed or rose feed). Jul: stop feeding.,Deep water twice weekly in summer. Avoid wetting foliage.,"3,6,7,8,9","3,5,7",twice_weekly_summer
Рудбекия,Rudbeckia hirta,,partial_shade,well_drained,tolerant,no,Rudbeckia | habitat: partial sun,Mar: cut to ground. Can leave for winter wildlife.,Apr: balanced compost. Jun: seaweed foliar.,Moderate. Water in dry spells.,3,"4,6",moderate
Птиче грозде (Лигуструм),Ligustrum vulgare,,full_sun,well_drained,tolerant,no,Privet | habitat: full_sun,May–Jun and Aug: clip hedge 2× a year. Hard renovate in Mar if overgrown.,Apr: balanced compost mulch.,Drought-tolerant once established.,"3,5,6,8",4,low
Мента,Mentha spp.,,full_sun,moist,tolerant,no,Mint | habitat: full_sun,Jun and Aug: cut hard to ground to prevent flowering and keep bushy.,May: nettle tea or compost tea monthly.,Keep consistently moist. Dries out fast in containers.,"6,8","5,6,7,8",high
Декоративен лук,Allium moly,,full_sun,well_drained,tolerant,yes,Allium moly | habitat: full_sun,Allow foliage to die back fully (6 weeks after flowering) before removing.,Mar: worm castings at planting time or top-dress established clumps.,Water after planting. Drought-tolerant once established.,"6,7",3,low
Далия,Dahlia spp.,,full_sun,well_drained,tolerant,yes,Dahlia | habitat: full_sun,Deadhead regularly Jun–Oct. Cut to ground after first frost (Oct–Nov).,Jun: high-potassium feed (tomato feed or seaweed) every 2 weeks until Sep.,Water deeply 2× week in summer. Keep evenly moist.,"6,7,8,9,10","6,7,8,9",twice_weekly_summer
Божур бял & Хортензия,Paeonia spp. & Hydrangea spp.,,partial_shade,well_drained,tolerant,no,Peony & Hydrangea | habitat: half shade,Autumn (Oct–Nov): cut stems to 10cm after frost. Do not cut in spring — harms flowering.,Mar: worm castings around base. May: seaweed after flowering.,Deep watering weekly in May–Jun when flowering. Drought-tolerant after.,"10,11","3,5",weekly_flowering
Ехинацея,Echinacea purpurea,,partial_shade,well_drained,tolerant,no,Echinacea | habitat: half shade,Mar: cut old stems to ground. Leave seed heads over winter for birds.,Apr: worm castings. Jun: compost tea.,Drought-tolerant once established. Water weekly first season.,3,"4,6",low
Абисинска гладиола,Gladiolus murielae,,full_sun,well_drained,tolerant,yes,Abyssinian gladiolus | habitat: full_sun,After flowering: cut stem leaving 4 leaves. Remove foliage after yellowing.,Jun: seaweed or balanced liquid feed when 30cm tall.,Water well from planting until flowering. Reduce after.,"8,9","6,7",moderate_growing
Лупина,Lupinus spp.,,full_sun,well_drained,tolerant,no,Lupinus (bluebonnet) | habitat: full_sun,May–Jun: pinch back candles by 1/2 to control size. No hard pruning.,Apr: slow-release conifer food once.,Drought-tolerant. Water young plants only.,"5,6",4,low
Хибискус,Hibiscus spp.,,partial_shade,well_drained,sheltered,no,Hibiscus | habitat: half shade,Apr: cut back frost-damaged tips. Light shape only.,May: high-potassium feed. Jun–Aug: seaweed monthly.,Regular watering May–Sep. Reduce in autumn.,4,"5,6,7,8",regular_summer
Еделвайс,Leontopodium alpinum,,full_sun,well_drained,tolerant,no,Edelweiss | habitat: full_sun,Mar: remove dead stems. Minimal.,Apr: very light compost or rock dust. Poor soil preferred.,Very drought-tolerant. Hates wet feet.,3,4,very_low
Актинидия (мини киви),Actinidia arguta,,full_sun,well_drained,tolerant,no,Hardy kiwi | habitat: full_sun,Feb–Mar: cut side shoots to 2–3 buds from main framework. Summer: remove excess growth.,Mar: worm castings. May: seaweed. Needs male + female plant.,Moderate–high. Water 2× week in summer for fruit.,"2,3,7","3,5",moderate
Кученце,Antirrhinum,,partial_shade,well_drained,sheltered,no,Antirrhinum | habitat: half shade,Pinch tips at 10cm for bushier plants. Deadhead through summer.,May: balanced liquid feed every 2 weeks.,Keep moist. Dislikes drought.,"5,6,7,8,9","5,6,7,8",moderate
Лавровишня,Prunus laurocerasus,,full_sun,well_drained,tolerant,no,Cherry (English) Laurel | habitat: full_sun,Mar–Apr: trim after flowering. Hard prune if overgrown — tolerates it well.,Apr: compost mulch. Jun: balanced liquid feed.,Moderate. Water young plants regularly. Drought-tolerant once established.,"3,4","4,6",moderate
Мащерка,Thymus vulgaris,,partial_shade,well_drained,sheltered,no,Thyme | habitat: half shade,Apr–May: light trim after flowering to keep compact. Never cut old wood.,Apr: light compost. Very low feeder.,Very drought-tolerant. Overwatering is the main killer.,"4,5",4,low
Маточина,Melissa officinalis,,full_sun,moist,tolerant,no,Lemon balm (Melissa) | habitat: full_sun,Jun: cut to ground after first flowering — promotes fresh flush. Cut again in Aug.,Apr: compost mulch. May: diluted nettle tea.,Moderate. Keep moist but not waterlogged.,"6,8","4,5",moderate
Върболистен тъжник,Spiraea salicifolia,,partial_shade,well_drained,tolerant,no,Bridgewort (Spiraea) | habitat: half shade,Mar (summer-flowering): cut hard to ground. After flowering (Jul): deadhead.,Apr: balanced compost.,Moderate.,"3,7",4,moderate
Момина сълза,Convallaria majalis,,full_shade,moist,sheltered,no,Lily of the valley | habitat: half shade,Autumn (Oct): cut back yellowed foliage after it dies down naturally.,Mar: thin layer of leaf mould or compost. Very low feeder.,Keep moist. Dislikes drought. Water weekly in dry weather.,10,3,moderate
Дебелец / алпийска роза,Sempervivum spp.,,full_sun,well_drained,tolerant,no,Sempervivum | habitat: full_sun,Remove dead rosettes after flowering. No other pruning.,Apr: very light grit/sand top-dressing. Minimal feeding — rich soil causes rot.,Extremely drought-tolerant. Water only in severe drought.,"6,7",4,very_low
Невен,Calendula officinalis,,full_sun,well_drained,tolerant,no,Calendula | habitat: full_sun,Deadhead continuously (Jun–Oct) to extend flowering. Self-seeds freely.,Apr at sowing: light compost. Monthly liquid seaweed.,Moderate. Water regularly to extend flowering season.,"6,7,8,9,10","4,5,6,7,8,9",moderate
Власатка (Овсига фестука),Festuca glauca,,partial_shade,well_drained,tolerant,no,Fescue | habitat: half shade,Mar: comb out dead grass with fingers. Every 3 years: divide clumps.,Apr: light slow-release granular. Avoid rich compost.,Drought-tolerant. Water monthly in extreme heat only.,3,4,very_low
Кампсис (Тромпетна лоза / Текома),Campsis spp.,,full_sun,well_drained,tolerant,no,Campsis | habitat: full_sun,Feb–Mar: cut all side shoots back to 2–3 buds from main framework. Essential for flowering.,"Apr: high-potassium organic feed (tomato feed or seaweed). Avoid nitrogen — causes leafy growth, fewer flowers.",Drought-tolerant. Water weekly in extreme heat only.,"2,3","4,5",low
Дойция,Deutzia spp.,,partial_shade,well_drained,sheltered,no,Deutzia | habitat: half shade,After flowering (Jun–Jul): cut flowered stems back to strong new growth.,Apr: compost mulch. Jun: seaweed.,Moderate. Keep moist in flower.,"6,7","4,6",moderate
Берберис (кисел трън),Berberis julianae,,full_sun,well_drained,tolerant,no,Barberry | habitat: full_sun,After flowering (Jun): remove oldest stems. Wear gloves — thorns.,Apr: compost mulch. Very unfussy.,Very drought-tolerant.,6,4,low
Каликарпа,Callicarpa bodinieri,,full_sun,well_drained,tolerant,no,Beautyberry | habitat: full_sun,Mar: cut hard to 30–40cm from ground — promotes fruiting wood.,Apr: worm castings. Jun: seaweed.,Moderate. Keep moist in summer for best berry set.,3,"4,6",moderate
Клематис,Clematis spp.,,full_sun,well_drained,tolerant,no,Clematis | habitat: full_sun,Feb–Mar (Group 3): cut hard to 30cm from ground. Check your variety group.,Mar: worm castings at base. Apr–Jul: liquid seaweed every 2 weeks.,Keep roots cool and moist. Mulch heavily. Water 2× week in summer.,"2,3","3,4,5,6,7",moderate
Жасмин,Jasminum officinale,,partial_shade,well_drained,sheltered,no,Jasmine | habitat: half shade,After flowering (Aug–Sep): thin out oldest stems by 1/3.,Apr: balanced compost. Jun: liquid seaweed.,Moderate. Water in dry periods. Drought-tolerant when established.,"8,9","4,6",moderate
Вайгела,Weigela florida,,full_sun,well_drained,tolerant,no,Weigela | habitat: full_sun,After flowering (Jun–Jul): remove 1/3 oldest stems at base.,Apr: compost mulch. Jun: liquid seaweed.,Moderate. Water during dry spells.,"6,7","4,6",moderate
Стахис (Агнешко/заешко ухо чистец),Stachys byzantina,,full_sun,well_drained,tolerant,no,Lamb's ear | habitat: full_sun,Mar: remove winter-damaged leaves. Deadhead flower spikes in Jul if unwanted.,Apr: light compost. Very low feeder.,Drought-tolerant. Overwatering causes rot.,"3,7",4,low
Хоста,Hosta spp.,,partial_shade,moist,tolerant,no,Hosta | habitat: half shade,Oct–Nov: cut all foliage to ground after frost. Mar: remove slug-damaged leaves.,Apr: slow-release balanced feed or worm castings.,Keep consistently moist. Water deeply 3× week in summer.,"3,10,11",4,high_summer
Бръшлян,Hedera helix,,full_sun,well_drained,sheltered,no,Ivy | habitat: full_sun,Mar–Apr: cut back hard if overgrown. Light trim any time.,Apr: balanced compost. Tolerates poor soil.,Drought-tolerant once established. Water young plants regularly.,"3,4",4,low
Калифорнийски мак,Eschscholzia californica,,full_sun,well_drained,tolerant,no,California poppy | habitat: full_sun,Deadhead to prevent excessive self-seeding. Or allow to naturalise.,Thrives in poor soil — no feeding needed.,Very drought-tolerant. Water only at sowing.,"6,7,8",,very_low
Рожец / Церастиум,Cerastium tomentosum,,full_sun,well_drained,tolerant,no,Snow-in-summer | habitat: full_sun,After flowering (Jun): cut back hard to prevent spreading.,Apr: very light compost. Thrives in poor soil.,Very drought-tolerant.,6,4,very_low
Лютиче,Ranunculus spp.,,full_sun,well_drained,tolerant,yes,Buttercup / Ranunculus | habitat: full_sun,"After flowering: allow foliage to yellow, then remove. Lift corms Jun.",Mar–Apr: liquid seaweed every 2 weeks during active growth.,Water regularly during growth (Mar–Jun). Stop completely when dormant.,"5,6","3,4,5",regular_growing
Маргаритка / паричка,Bellis perennis,,full_sun,well_drained,tolerant,no,Daisy (Bellis) | habitat: full sun,Deadhead regularly (Mar–Jun) to prolong flowering.,Mar: light balanced compost.,Keep moist during flowering.,"3,4,5,6",3,moderate
Зюмбюл,Hyacinthus,,partial_shade,well_drained,tolerant,yes,Hyacinth | habitat: half shade,After flowering: deadhead. Allow foliage to die back. Can lift and dry Jun–Jul.,Mar: balanced fertiliser as shoots emerge.,Water during growth. Dry out completely in summer.,"4,5",3,low_summer
Бергения,Bergenia cordifolia,,full_shade,moist,sheltered,no,Bergenia | habitat: shade,Mar: remove winter-damaged or tatty old leaves. Deadhead after flowering.,Apr: light compost mulch once.,Low once established. Water young plants regularly.,3,4,low
Ирис,Iris spp.,,partial_shade,well_drained,sheltered,yes,Iris | habitat: half shade,After flowering (Jun–Jul): cut flower stems. Tidy fans in Sep. Divide every 3–4 years after flowering.,Mar: low-nitrogen fertiliser. May: high-potassium after flowering.,Moderate during growth. Dry in summer — rhizomes need sun to bake.,"6,7,9","3,5",low_summer
Флокс,Phlox spp.,,full_sun,well_drained,tolerant,no,Phlox | habitat: full_sun,Oct: cut to ground. Divide clumps every 3 years in Mar.,Apr: worm castings. Jun: seaweed foliar spray.,Keep moist in summer. Water 2–3× week in heat.,10,"4,6",moderate
Кукувиче грозде,Muscari botryoides,,full_sun,well_drained,tolerant,yes,Garden grape-hyacinth | habitat: full_sun,After flowering (Apr–May): allow leaves to die back. Do not remove early.,Sep–Oct at planting: bone meal in hole.,Minimal. Water only after planting.,"5,6","9,10",very_low
Обикновен синчец,Scilla bifolia,,full_sun,well_drained,tolerant,yes,Alpine squill | habitat: full_sun,After flowering: allow foliage to die back naturally.,Sep: bone meal at planting.,Minimal. Self-sufficient.,"4,5",9,very_low
Калоцефалус,Callocephalus spp.,,full_sun,well_drained,tolerant,no,Beauty-heads | habitat: full_sun,Mar–Apr: light trim to shape.,Apr: light compost. Drought-tolerant plant.,Low.,"3,4",4,low
Калуна,Calluna vulgaris,,full_sun,well_drained,tolerant,no,Common heather | habitat: full_sun,Mar (spring-flowering): trim lightly after flowering. Avoid old wood.,Apr: ericaceous fertiliser (acid-loving). No lime.,Keep moist but well-drained. Dislikes drought.,3,4,moderate
Сребриста сантолина,Santolina chamaecyparissus,,full_sun,well_drained,tolerant,no,Cotton lavender | habitat: full_sun,"Apr–May: light shaping only, never cut into old brown wood.",Apr: slow-release conifer fertiliser.,Regular water in first year. Drought-tolerant after.,"4,5",4,low
Еониум,Aeonium spp.,,full_sun,well_drained,tolerant,no,Tree houseleeks | habitat: full_sun,Remove dead rosettes. Minimal.,Apr: light succulent fertiliser.,Water spring–autumn. Dry rest in summer. Frost-tender — protect below 5°C.,,4,low
Аубриета,Aubrieta deltoidea,,full_sun,well_drained,tolerant,no,Rock cress | habitat: full_sun,After flowering (May): cut hard back by 2/3 to keep compact.,Mar: light balanced fertiliser. Very low feeder.,Drought-tolerant. Water lightly in extreme heat.,5,3,very_low
Иберис,Iberis spp.,,full_sun,well_drained,sheltered,no,Candytuft | habitat: full_sun,After flowering (May–Jun): cut back by 1/3 to maintain shape.,Mar: light compost. Very low feeder.,Low. Drought-tolerant once established.,"5,6",3,very_low
